code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
SBIA013	semistructured-interview	01:07:00	5	PSB005;PSB066;PSB067;PSB068;PSB069	italian;other	BO	fixed	yes	asymmetric	_	no
SBIA014	semistructured-interview	01:15:00	4	PSB005;PSB079;PSB080;PSB067	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIA015	semistructured-interview	00:44:29	3	PSB144;PSB145;PSB146	italian;other	BO	fixed	yes	asymmetric	_	no
SBIA017	semistructured-interview	00:35:11	3	PSB146;PSB147;PSB153	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIA018	semistructured-interview	00:39:10	2	PSB141;PSB156	italian;other	BO	fixed	yes	asymmetric	_	no
SBIA019	semistructured-interview	00:59:51	4	PSB157;PSB158;PSB159;PSB160	italian;other	BO	fixed	yes	asymmetric	_	no
SBIB001	semistructured-interview	01:06:00	2	PSB005;PSB021	italian	BO	fixed	yes	asymmetric	_	no
SBIB002	semistructured-interview	00:37:17	3	PSB005;PSB026;PSB028	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIB003	semistructured-interview	00:39:00	3	PSB005;PSB029;PSB054	italian;other	BO	fixed	yes	asymmetric	_	no
SBIB004	semistructured-interview	00:18:23	2	PSB005;PSB041	italian	BO	fixed	yes	asymmetric	_	yes
SBIB005	semistructured-interview	00:24:35	6	PSB028;PSB054;PSB036;PSB051;PSB052;PSB053	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIB006	semistructured-interview	00:58:00	2	PSB049;PSB050	italian;other	BO	fixed	yes	asymmetric	_	no
SBIB007	semistructured-interview	00:38:10	2	PSB005;PSB056	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIB008	semistructured-interview	00:39:35	3	PSB028;PSB054;PSB057	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIB009	semistructured-interview	00:20:19	2	PSB005;PSB058	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIB010	semistructured-interview	00:26:38	3	PSB005;PSB058;PSB059	italian;other	BO	fixed	yes	asymmetric	_	no
SBIB011	semistructured-interview	00:56:19	2	PSB005;PSB062	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIB012	semistructured-interview	01:36:00	5	PSB005;PSB071;PSB072;PSB073;PSB074	italian;other	BO	fixed	yes	asymmetric	_	no
SBIB013	semistructured-interview	01:18:00	3	PSB005;PSB075;PSB076	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIC001	semistructured-interview	01:00:07	3	PSB005;PSB002;PSB001	italian;other	BO	fixed	yes	asymmetric	_	no
SBIC002	semistructured-interview	01:02:00	3	PSB005;PSB004;PSB003	italian;other	BO	fixed	yes	asymmetric	_	no
SBIC004	semistructured-interview	00:51:19	2	PSB005;PSB008	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIC005	semistructured-interview	01:07:56	2	PSB005;PSB009	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIC006	semistructured-interview	01:08:00	2	PSB005;PSB013	italian;other	BO	fixed	yes	asymmetric	_	no
SBIC007	semistructured-interview	00:16:06	3	PSB014;PSB033;PSB035	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIC008	semistructured-interview	00:34:17	4	PSB005;PSB036;PSB037;PSB038	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIC009	semistructured-interview	00:52:00	2	PSB005;PSB046	italian	BO	fixed	yes	asymmetric	_	yes
SBIC010	semistructured-interview	00:40:15	2	PSB005;PSB077	italian	BO	fixed	yes	asymmetric	_	no
SBIC011	semistructured-interview	00:40:00	2	PSB005;PSB078	italian;other	BO	fixed	yes	asymmetric	_	no
SBIC012	semistructured-interview	01:07:00	3	PSB005;PSB081;PSB082	italian	BO	fixed	yes	asymmetric	_	yes
SBIU001	semistructured-interview	01:20:00	2	PSB005;PSB007	italian;other	BO	fixed	yes	asymmetric	_	no
SBIU002	semistructured-interview	01:08:00	2	PSB005;PSB010	italian	BO	fixed	yes	asymmetric	_	no
SBIU003	semistructured-interview	01:30:05	2	PSB011;PSB012	italian;other	BO	fixed	yes	asymmetric	_	no
SBIU004	semistructured-interview	01:27:00	2	PSB005;PSB018	italian;other	BO	fixed	yes	asymmetric	_	no
SBIU005	semistructured-interview	01:06:08	2	PSB005;PSB019	italian	BO	fixed	yes	asymmetric	_	yes
SBIU006	semistructured-interview	01:09:03	2	PSB005;PSB020	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIU007	semistructured-interview	00:37:00	3	PSB005;PSB030;PSB031	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIU009	semistructured-interview	00:24:14	2	PSB005;PSB039	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIU010	semistructured-interview	01:07:00	2	PSB005;PSB070	italian;other	BO	fixed	yes	asymmetric	_	no
